             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= -23.6944 Lon(deg)= 133.883 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  5.758120e+03  5.725932e+03  5.694436e+03  5.663626e+03  5.633493e+03  5.604029e+03  5.575224e+03  5.547070e+03  5.519558e+03  5.492679e+03  5.466424e+03  5.440782e+03  5.415744e+03  5.391299e+03  5.367438e+03  5.344149e+03  5.321422e+03  5.299244e+03  5.277604e+03  5.256490e+03  5.235889e+03  5.215787e+03  5.196172e+03  5.177028e+03  5.158340e+03  5.140093e+03  5.122269e+03  5.104852e+03  5.087821e+03  5.071158e+03  5.054841e+03  5.038845e+03  5.023147e+03  5.007719e+03  4.992531e+03  4.977549e+03  4.962736e+03  4.948049e+03  4.933439e+03  4.918851e+03  4.904217e+03  4.889456e+03  4.874467e+03  4.859123e+03  4.843253e+03  4.826622e+03  4.808878e+03  4.789451e+03  4.763153e+03  4.731846e+03  4.700539e+03  4.669232e+03  4.637926e+03  4.611106e+03  4.589669e+03  4.569112e+03  4.549207e+03  4.529810e+03  4.510824e+03  4.492180e+03  4.473827e+03  4.455724e+03  4.437839e+03  4.420147e+03  4.402627e+03  4.385261e+03  4.368035e+03  4.350934e+03  4.333949e+03  4.317069e+03  4.300286e+03  4.283594e+03  4.266984e+03  4.250452e+03  4.233991e+03  4.217598e+03  4.201267e+03  4.184995e+03  4.168779e+03  4.152614e+03  4.136498e+03  4.120429e+03  4.104403e+03  4.088418e+03  4.072472e+03  4.056563e+03  4.040689e+03  4.024848e+03  4.009039e+03  3.993260e+03  3.977510e+03  3.961786e+03  3.946089e+03  3.930416e+03  3.914767e+03  3.899141e+03  3.883536e+03  3.867951e+03  3.852386e+03  3.836839e+03           nan
  1.421900e-08  5.993390e+03  5.959886e+03  5.927104e+03  5.895035e+03  5.863671e+03  5.833002e+03  5.803020e+03  5.773716e+03  5.745080e+03  5.717103e+03  5.689775e+03  5.663085e+03  5.637024e+03  5.611581e+03  5.586745e+03  5.562504e+03  5.538848e+03  5.515764e+03  5.493240e+03  5.471263e+03  5.449821e+03  5.428898e+03  5.408481e+03  5.388555e+03  5.369103e+03  5.350110e+03  5.331559e+03  5.313429e+03  5.295703e+03  5.278359e+03  5.261375e+03  5.244726e+03  5.228387e+03  5.212329e+03  5.196520e+03  5.180925e+03  5.165507e+03  5.150220e+03  5.135014e+03  5.119829e+03  5.104597e+03  5.089233e+03  5.073632e+03  5.057661e+03  5.041142e+03  5.023832e+03  5.005363e+03  4.985142e+03  4.957769e+03  4.925183e+03  4.892597e+03  4.860011e+03  4.827425e+03  4.799510e+03  4.777197e+03  4.755800e+03  4.735082e+03  4.714892e+03  4.695130e+03  4.675725e+03  4.656622e+03  4.637779e+03  4.619164e+03  4.600749e+03  4.582513e+03  4.564438e+03  4.546507e+03  4.528708e+03  4.511028e+03  4.493459e+03  4.475991e+03  4.458616e+03  4.441328e+03  4.424120e+03  4.406987e+03  4.389924e+03  4.372926e+03  4.355989e+03  4.339110e+03  4.322285e+03  4.305510e+03  4.288784e+03  4.272103e+03  4.255465e+03  4.238868e+03  4.222309e+03  4.205786e+03  4.189298e+03  4.172843e+03  4.156420e+03  4.140026e+03  4.123660e+03  4.107321e+03  4.091008e+03  4.074720e+03  4.058455e+03  4.042212e+03  4.025990e+03  4.009789e+03  3.993608e+03           nan
  1.790100e-08  6.205275e+03  6.170586e+03  6.136645e+03  6.103443e+03  6.070970e+03  6.039217e+03  6.008175e+03  5.977835e+03  5.948187e+03  5.919221e+03  5.890926e+03  5.863293e+03  5.836311e+03  5.809968e+03  5.784254e+03  5.759156e+03  5.734664e+03  5.710764e+03  5.687443e+03  5.664690e+03  5.642489e+03  5.620826e+03  5.599687e+03  5.579057e+03  5.558918e+03  5.539253e+03  5.520046e+03  5.501276e+03  5.482923e+03  5.464966e+03  5.447381e+03  5.430144e+03  5.413227e+03  5.396601e+03  5.380233e+03  5.364087e+03  5.348123e+03  5.332296e+03  5.316552e+03  5.300831e+03  5.285061e+03  5.269153e+03  5.253000e+03  5.236465e+03  5.219363e+03  5.201440e+03  5.182318e+03  5.161382e+03  5.133042e+03  5.099304e+03  5.065566e+03  5.031828e+03  4.998090e+03  4.969187e+03  4.946086e+03  4.923933e+03  4.902482e+03  4.881578e+03  4.861118e+03  4.841026e+03  4.821248e+03  4.801739e+03  4.782465e+03  4.763400e+03  4.744519e+03  4.725805e+03  4.707240e+03  4.688811e+03  4.670507e+03  4.652317e+03  4.634231e+03  4.616242e+03  4.598342e+03  4.580526e+03  4.562787e+03  4.545121e+03  4.527522e+03  4.509987e+03  4.492511e+03  4.475091e+03  4.457724e+03  4.440406e+03  4.423135e+03  4.405909e+03  4.388725e+03  4.371581e+03  4.354474e+03  4.337403e+03  4.320366e+03  4.303362e+03  4.286388e+03  4.269444e+03  4.252528e+03  4.235638e+03  4.218774e+03  4.201934e+03  4.185117e+03  4.168322e+03  4.151548e+03  4.134794e+03           nan
  2.253600e-08  6.382818e+03  6.347137e+03  6.312225e+03  6.278072e+03  6.244670e+03  6.212009e+03  6.180079e+03  6.148871e+03  6.118374e+03  6.088579e+03  6.059475e+03  6.031052e+03  6.003297e+03  5.976201e+03  5.949751e+03  5.923935e+03  5.898742e+03  5.874158e+03  5.850171e+03  5.826766e+03  5.803930e+03  5.781647e+03  5.759904e+03  5.738683e+03  5.717968e+03  5.697741e+03  5.677984e+03  5.658676e+03  5.639799e+03  5.621328e+03  5.603240e+03  5.585509e+03  5.568108e+03  5.551006e+03  5.534170e+03  5.517563e+03  5.501142e+03  5.484862e+03  5.468668e+03  5.452497e+03  5.436275e+03  5.419912e+03  5.403298e+03  5.386289e+03  5.368697e+03  5.350262e+03  5.330593e+03  5.309058e+03  5.279907e+03  5.245204e+03  5.210500e+03  5.175797e+03  5.141094e+03  5.111364e+03  5.087601e+03  5.064815e+03  5.042750e+03  5.021248e+03  5.000203e+03  4.979536e+03  4.959192e+03  4.939125e+03  4.919300e+03  4.899689e+03  4.880268e+03  4.861018e+03  4.841922e+03  4.822966e+03  4.804138e+03  4.785427e+03  4.766824e+03  4.748320e+03  4.729909e+03  4.711583e+03  4.693336e+03  4.675165e+03  4.657062e+03  4.639025e+03  4.621049e+03  4.603131e+03  4.585267e+03  4.567454e+03  4.549689e+03  4.531970e+03  4.514294e+03  4.496659e+03  4.479063e+03  4.461504e+03  4.443979e+03  4.426488e+03  4.409029e+03  4.391600e+03  4.374200e+03  4.356827e+03  4.339480e+03  4.322158e+03  4.304860e+03  4.287584e+03  4.270331e+03  4.253098e+03           nan
  2.837100e-08  6.513308e+03  6.476898e+03  6.441272e+03  6.406421e+03  6.372336e+03  6.339007e+03  6.306424e+03  6.274578e+03  6.243458e+03  6.213054e+03  6.183355e+03  6.154350e+03  6.126028e+03  6.098378e+03  6.071387e+03  6.045044e+03  6.019336e+03  5.994249e+03  5.969771e+03  5.945888e+03  5.922585e+03  5.899847e+03  5.877659e+03  5.856004e+03  5.834866e+03  5.814225e+03  5.794064e+03  5.774362e+03  5.755098e+03  5.736250e+03  5.717792e+03  5.699699e+03  5.681942e+03  5.664491e+03  5.647310e+03  5.630363e+03  5.613607e+03  5.596994e+03  5.580469e+03  5.563967e+03  5.547414e+03  5.530717e+03  5.513762e+03  5.496406e+03  5.478455e+03  5.459642e+03  5.439572e+03  5.417596e+03  5.387849e+03  5.352436e+03  5.317023e+03  5.281611e+03  5.246198e+03  5.215861e+03  5.191612e+03  5.168360e+03  5.145843e+03  5.123902e+03  5.102427e+03  5.081338e+03  5.060577e+03  5.040100e+03  5.019870e+03  4.999858e+03  4.980040e+03  4.960396e+03  4.940910e+03  4.921567e+03  4.902354e+03  4.883260e+03  4.864277e+03  4.845395e+03  4.826607e+03  4.807906e+03  4.789287e+03  4.770743e+03  4.752271e+03  4.733865e+03  4.715522e+03  4.697237e+03  4.679008e+03  4.660830e+03  4.642702e+03  4.624621e+03  4.606584e+03  4.588588e+03  4.570633e+03  4.552714e+03  4.534832e+03  4.516983e+03  4.499167e+03  4.481382e+03  4.463626e+03  4.445898e+03  4.428196e+03  4.410520e+03  4.392868e+03  4.375240e+03  4.357633e+03  4.340048e+03           nan
  3.571700e-08  6.582925e+03  6.546126e+03  6.510119e+03  6.474896e+03  6.440446e+03  6.406761e+03  6.373830e+03  6.341644e+03  6.310191e+03  6.279462e+03  6.249445e+03  6.220131e+03  6.191506e+03  6.163560e+03  6.136281e+03  6.109656e+03  6.083673e+03  6.058318e+03  6.033579e+03  6.009440e+03  5.985888e+03  5.962907e+03  5.940482e+03  5.918596e+03  5.897231e+03  5.876370e+03  5.855994e+03  5.836081e+03  5.816611e+03  5.797561e+03  5.778906e+03  5.760620e+03  5.742673e+03  5.725035e+03  5.707671e+03  5.690543e+03  5.673608e+03  5.656817e+03  5.640115e+03  5.623438e+03  5.606707e+03  5.589831e+03  5.572696e+03  5.555154e+03  5.537011e+03  5.517997e+03  5.497712e+03  5.475502e+03  5.445437e+03  5.409645e+03  5.373854e+03  5.338063e+03  5.302272e+03  5.271610e+03  5.247102e+03  5.223601e+03  5.200845e+03  5.178669e+03  5.156964e+03  5.135649e+03  5.114667e+03  5.093971e+03  5.073524e+03  5.053298e+03  5.033269e+03  5.013415e+03  4.993721e+03  4.974171e+03  4.954752e+03  4.935455e+03  4.916268e+03  4.897184e+03  4.878196e+03  4.859295e+03  4.840477e+03  4.821735e+03  4.803065e+03  4.784463e+03  4.765923e+03  4.747443e+03  4.729019e+03  4.710647e+03  4.692326e+03  4.674051e+03  4.655821e+03  4.637633e+03  4.619486e+03  4.601376e+03  4.583302e+03  4.565263e+03  4.547256e+03  4.529281e+03  4.511335e+03  4.493417e+03  4.475527e+03  4.457662e+03  4.439821e+03  4.422004e+03  4.404209e+03  4.386436e+03           nan
  4.496500e-08  6.577990e+03  6.541218e+03  6.505239e+03  6.470042e+03  6.435618e+03  6.401958e+03  6.369052e+03  6.336890e+03  6.305461e+03  6.274754e+03  6.244760e+03  6.215468e+03  6.186864e+03  6.158940e+03  6.131681e+03  6.105076e+03  6.079112e+03  6.053777e+03  6.029056e+03  6.004935e+03  5.981401e+03  5.958437e+03  5.936029e+03  5.914159e+03  5.892810e+03  5.871965e+03  5.851603e+03  5.831706e+03  5.812251e+03  5.793215e+03  5.774574e+03  5.756301e+03  5.738368e+03  5.720744e+03  5.703393e+03  5.686277e+03  5.669355e+03  5.652577e+03  5.635887e+03  5.619222e+03  5.602504e+03  5.585641e+03  5.568518e+03  5.550989e+03  5.532860e+03  5.513861e+03  5.493591e+03  5.471397e+03  5.441354e+03  5.405590e+03  5.369826e+03  5.334061e+03  5.298297e+03  5.267658e+03  5.243169e+03  5.219685e+03  5.196946e+03  5.174787e+03  5.153098e+03  5.131799e+03  5.110833e+03  5.090152e+03  5.069721e+03  5.049510e+03  5.029496e+03  5.009657e+03  4.989977e+03  4.970442e+03  4.951038e+03  4.931755e+03  4.912583e+03  4.893513e+03  4.874539e+03  4.855652e+03  4.836848e+03  4.818120e+03  4.799465e+03  4.780876e+03  4.762350e+03  4.743884e+03  4.725474e+03  4.707116e+03  4.688808e+03  4.670547e+03  4.652331e+03  4.634157e+03  4.616022e+03  4.597926e+03  4.579866e+03  4.561840e+03  4.543847e+03  4.525885e+03  4.507953e+03  4.490049e+03  4.472171e+03  4.454320e+03  4.436493e+03  4.418689e+03  4.400908e+03  4.383148e+03           nan
