             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= 34.4722 Lon(deg)= -104.246 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  1.451664e+04  1.441582e+04  1.431719e+04  1.422074e+04  1.412646e+04  1.403435e+04  1.394441e+04  1.385663e+04  1.377101e+04  1.368754e+04  1.360622e+04  1.352705e+04  1.345001e+04  1.337511e+04  1.330234e+04  1.323170e+04  1.316318e+04  1.309677e+04  1.303247e+04  1.297028e+04  1.291019e+04  1.285219e+04  1.279627e+04  1.274244e+04  1.269069e+04  1.264100e+04  1.259338e+04  1.254782e+04  1.250430e+04  1.246283e+04  1.242339e+04  1.238598e+04  1.235058e+04  1.231720e+04  1.228583e+04  1.225644e+04  1.222905e+04  1.220362e+04  1.218017e+04  1.215866e+04  1.213910e+04  1.212148e+04  1.210577e+04  1.209196e+04  1.208004e+04  1.207000e+04  1.206182e+04  1.205547e+04  1.199677e+04  1.188436e+04  1.177195e+04  1.165954e+04  1.154713e+04  1.146720e+04  1.142025e+04  1.137377e+04  1.132766e+04  1.128182e+04  1.123620e+04  1.119077e+04  1.114550e+04  1.110036e+04  1.105534e+04  1.101042e+04  1.096559e+04  1.092084e+04  1.087617e+04  1.083156e+04  1.078701e+04  1.074251e+04  1.069807e+04  1.065367e+04  1.060931e+04  1.056499e+04  1.052070e+04  1.047645e+04  1.043223e+04  1.038803e+04  1.034387e+04  1.029973e+04  1.025561e+04  1.021151e+04  1.016743e+04  1.012337e+04  1.007933e+04  1.003531e+04  9.991296e+03  9.947301e+03  9.903320e+03  9.859352e+03  9.815395e+03  9.771450e+03  9.727516e+03  9.683591e+03  9.639676e+03  9.595770e+03  9.551872e+03  9.507982e+03  9.464099e+03  9.420223e+03           nan
  1.421900e-08  1.512413e+04  1.501910e+04  1.491634e+04  1.481585e+04  1.471762e+04  1.462166e+04  1.452796e+04  1.443650e+04  1.434730e+04  1.426034e+04  1.417562e+04  1.409313e+04  1.401287e+04  1.393484e+04  1.385902e+04  1.378542e+04  1.371403e+04  1.364485e+04  1.357786e+04  1.351306e+04  1.345046e+04  1.339003e+04  1.333178e+04  1.327569e+04  1.322177e+04  1.317001e+04  1.312039e+04  1.307292e+04  1.302758e+04  1.298437e+04  1.294328e+04  1.290431e+04  1.286743e+04  1.283266e+04  1.279997e+04  1.276935e+04  1.274081e+04  1.271432e+04  1.268989e+04  1.266748e+04  1.264710e+04  1.262874e+04  1.261237e+04  1.259799e+04  1.258557e+04  1.257511e+04  1.256658e+04  1.255997e+04  1.249881e+04  1.238170e+04  1.226458e+04  1.214747e+04  1.203036e+04  1.194708e+04  1.189816e+04  1.184975e+04  1.180170e+04  1.175394e+04  1.170642e+04  1.165909e+04  1.161192e+04  1.156489e+04  1.151799e+04  1.147119e+04  1.142448e+04  1.137786e+04  1.133132e+04  1.128484e+04  1.123843e+04  1.119207e+04  1.114576e+04  1.109950e+04  1.105329e+04  1.100711e+04  1.096097e+04  1.091487e+04  1.086880e+04  1.082276e+04  1.077674e+04  1.073075e+04  1.068479e+04  1.063884e+04  1.059292e+04  1.054702e+04  1.050113e+04  1.045527e+04  1.040941e+04  1.036358e+04  1.031776e+04  1.027195e+04  1.022615e+04  1.018037e+04  1.013459e+04  1.008883e+04  1.004308e+04  9.997336e+03  9.951601e+03  9.905874e+03  9.860154e+03  9.814442e+03           nan
  1.790100e-08  1.567370e+04  1.556485e+04  1.545835e+04  1.535421e+04  1.525242e+04  1.515297e+04  1.505586e+04  1.496108e+04  1.486864e+04  1.477852e+04  1.469072e+04  1.460523e+04  1.452206e+04  1.444119e+04  1.436262e+04  1.428635e+04  1.421236e+04  1.414066e+04  1.407124e+04  1.400409e+04  1.393921e+04  1.387658e+04  1.381621e+04  1.375809e+04  1.370221e+04  1.364857e+04  1.359715e+04  1.354795e+04  1.350097e+04  1.345619e+04  1.341360e+04  1.337321e+04  1.333500e+04  1.329896e+04  1.326508e+04  1.323336e+04  1.320377e+04  1.317633e+04  1.315100e+04  1.312778e+04  1.310666e+04  1.308763e+04  1.307067e+04  1.305576e+04  1.304290e+04  1.303205e+04  1.302322e+04  1.301636e+04  1.295299e+04  1.283161e+04  1.271024e+04  1.258887e+04  1.246750e+04  1.238121e+04  1.233051e+04  1.228033e+04  1.223054e+04  1.218105e+04  1.213180e+04  1.208275e+04  1.203386e+04  1.198513e+04  1.193652e+04  1.188802e+04  1.183961e+04  1.179130e+04  1.174306e+04  1.169490e+04  1.164680e+04  1.159876e+04  1.155077e+04  1.150283e+04  1.145493e+04  1.140708e+04  1.135926e+04  1.131149e+04  1.126374e+04  1.121602e+04  1.116834e+04  1.112068e+04  1.107304e+04  1.102543e+04  1.097784e+04  1.093026e+04  1.088271e+04  1.083518e+04  1.078766e+04  1.074016e+04  1.069267e+04  1.064520e+04  1.059774e+04  1.055029e+04  1.050286e+04  1.045543e+04  1.040802e+04  1.036061e+04  1.031321e+04  1.026582e+04  1.021844e+04  1.017107e+04           nan
  2.253600e-08  1.613747e+04  1.602540e+04  1.591575e+04  1.580853e+04  1.570373e+04  1.560133e+04  1.550135e+04  1.540377e+04  1.530859e+04  1.521580e+04  1.512540e+04  1.503739e+04  1.495175e+04  1.486849e+04  1.478760e+04  1.470907e+04  1.463289e+04  1.455907e+04  1.448759e+04  1.441846e+04  1.435165e+04  1.428718e+04  1.422502e+04  1.416518e+04  1.410765e+04  1.405242e+04  1.399948e+04  1.394882e+04  1.390045e+04  1.385434e+04  1.381050e+04  1.376891e+04  1.372957e+04  1.369246e+04  1.365758e+04  1.362492e+04  1.359446e+04  1.356620e+04  1.354012e+04  1.351622e+04  1.349448e+04  1.347488e+04  1.345742e+04  1.344207e+04  1.342882e+04  1.341766e+04  1.340856e+04  1.340150e+04  1.333625e+04  1.321129e+04  1.308633e+04  1.296137e+04  1.283641e+04  1.274755e+04  1.269536e+04  1.264370e+04  1.259243e+04  1.254147e+04  1.249076e+04  1.244026e+04  1.238993e+04  1.233976e+04  1.228971e+04  1.223977e+04  1.218994e+04  1.214019e+04  1.209053e+04  1.204094e+04  1.199142e+04  1.194195e+04  1.189254e+04  1.184319e+04  1.179387e+04  1.174460e+04  1.169537e+04  1.164618e+04  1.159702e+04  1.154789e+04  1.149880e+04  1.144973e+04  1.140068e+04  1.135166e+04  1.130266e+04  1.125368e+04  1.120472e+04  1.115578e+04  1.110686e+04  1.105795e+04  1.100906e+04  1.096018e+04  1.091132e+04  1.086247e+04  1.081363e+04  1.076480e+04  1.071598e+04  1.066717e+04  1.061837e+04  1.056958e+04  1.052080e+04  1.047202e+04           nan
  2.837100e-08  1.648302e+04  1.636855e+04  1.625656e+04  1.614704e+04  1.603999e+04  1.593541e+04  1.583329e+04  1.573362e+04  1.563640e+04  1.554162e+04  1.544929e+04  1.535939e+04  1.527192e+04  1.518688e+04  1.510425e+04  1.502404e+04  1.494623e+04  1.487083e+04  1.479782e+04  1.472720e+04  1.465897e+04  1.459311e+04  1.452963e+04  1.446851e+04  1.440974e+04  1.435333e+04  1.429925e+04  1.424751e+04  1.419810e+04  1.415101e+04  1.410623e+04  1.406375e+04  1.402356e+04  1.398566e+04  1.395004e+04  1.391667e+04  1.388556e+04  1.385670e+04  1.383006e+04  1.380565e+04  1.378344e+04  1.376342e+04  1.374558e+04  1.372991e+04  1.371638e+04  1.370498e+04  1.369568e+04  1.368847e+04  1.362183e+04  1.349419e+04  1.336655e+04  1.323891e+04  1.311128e+04  1.302052e+04  1.296721e+04  1.291444e+04  1.286208e+04  1.281003e+04  1.275823e+04  1.270665e+04  1.265524e+04  1.260399e+04  1.255287e+04  1.250187e+04  1.245097e+04  1.240016e+04  1.234943e+04  1.229878e+04  1.224819e+04  1.219767e+04  1.214720e+04  1.209679e+04  1.204642e+04  1.199610e+04  1.194581e+04  1.189557e+04  1.184535e+04  1.179517e+04  1.174502e+04  1.169490e+04  1.164481e+04  1.159474e+04  1.154469e+04  1.149466e+04  1.144465e+04  1.139466e+04  1.134469e+04  1.129474e+04  1.124480e+04  1.119488e+04  1.114497e+04  1.109507e+04  1.104518e+04  1.099531e+04  1.094544e+04  1.089559e+04  1.084575e+04  1.079591e+04  1.074608e+04  1.069626e+04           nan
  3.571700e-08  1.667503e+04  1.655922e+04  1.644593e+04  1.633513e+04  1.622684e+04  1.612103e+04  1.601772e+04  1.591689e+04  1.581854e+04  1.572266e+04  1.562925e+04  1.553830e+04  1.544981e+04  1.536378e+04  1.528019e+04  1.519904e+04  1.512033e+04  1.504405e+04  1.497019e+04  1.489875e+04  1.482973e+04  1.476310e+04  1.469888e+04  1.463704e+04  1.457759e+04  1.452052e+04  1.446582e+04  1.441348e+04  1.436349e+04  1.431585e+04  1.427055e+04  1.422757e+04  1.418692e+04  1.414857e+04  1.411253e+04  1.407878e+04  1.404731e+04  1.401811e+04  1.399116e+04  1.396646e+04  1.394400e+04  1.392375e+04  1.390570e+04  1.388984e+04  1.387615e+04  1.386462e+04  1.385522e+04  1.384792e+04  1.378050e+04  1.365137e+04  1.352225e+04  1.339313e+04  1.326400e+04  1.317219e+04  1.311826e+04  1.306487e+04  1.301190e+04  1.295924e+04  1.290685e+04  1.285466e+04  1.280266e+04  1.275081e+04  1.269909e+04  1.264749e+04  1.259600e+04  1.254460e+04  1.249328e+04  1.244204e+04  1.239087e+04  1.233975e+04  1.228870e+04  1.223770e+04  1.218674e+04  1.213583e+04  1.208496e+04  1.203413e+04  1.198333e+04  1.193257e+04  1.188184e+04  1.183113e+04  1.178045e+04  1.172980e+04  1.167916e+04  1.162856e+04  1.157797e+04  1.152739e+04  1.147684e+04  1.142631e+04  1.137579e+04  1.132528e+04  1.127479e+04  1.122431e+04  1.117384e+04  1.112339e+04  1.107294e+04  1.102251e+04  1.097208e+04  1.092167e+04  1.087126e+04  1.082086e+04           nan
  4.496500e-08  1.667835e+04  1.656252e+04  1.644920e+04  1.633839e+04  1.623007e+04  1.612425e+04  1.602091e+04  1.592006e+04  1.582169e+04  1.572579e+04  1.563236e+04  1.554140e+04  1.545289e+04  1.536684e+04  1.528324e+04  1.520207e+04  1.512335e+04  1.504705e+04  1.497318e+04  1.490172e+04  1.483268e+04  1.476604e+04  1.470180e+04  1.463996e+04  1.458050e+04  1.452341e+04  1.446870e+04  1.441635e+04  1.436635e+04  1.431870e+04  1.427339e+04  1.423041e+04  1.418974e+04  1.415139e+04  1.411534e+04  1.408159e+04  1.405011e+04  1.402090e+04  1.399395e+04  1.396925e+04  1.394677e+04  1.392652e+04  1.390847e+04  1.389261e+04  1.387892e+04  1.386738e+04  1.385798e+04  1.385068e+04  1.378324e+04  1.365409e+04  1.352494e+04  1.339579e+04  1.326664e+04  1.317482e+04  1.312087e+04  1.306748e+04  1.301449e+04  1.296183e+04  1.290942e+04  1.285722e+04  1.280521e+04  1.275335e+04  1.270162e+04  1.265001e+04  1.259851e+04  1.254710e+04  1.249577e+04  1.244452e+04  1.239333e+04  1.234221e+04  1.229115e+04  1.224014e+04  1.218917e+04  1.213825e+04  1.208737e+04  1.203653e+04  1.198572e+04  1.193495e+04  1.188420e+04  1.183349e+04  1.178280e+04  1.173213e+04  1.168149e+04  1.163087e+04  1.158027e+04  1.152969e+04  1.147913e+04  1.142858e+04  1.137805e+04  1.132754e+04  1.127703e+04  1.122654e+04  1.117607e+04  1.112560e+04  1.107515e+04  1.102470e+04  1.097427e+04  1.092384e+04  1.087343e+04  1.082302e+04           nan
