             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= -77.8345 Lon(deg)= 166.753 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  2.974514e+04  2.955508e+04  2.936869e+04  2.918597e+04  2.900694e+04  2.883158e+04  2.865990e+04  2.849192e+04  2.832762e+04  2.816702e+04  2.801011e+04  2.785691e+04  2.770741e+04  2.756163e+04  2.741955e+04  2.728120e+04  2.714657e+04  2.701566e+04  2.688849e+04  2.676505e+04  2.664536e+04  2.652941e+04  2.641722e+04  2.630878e+04  2.620411e+04  2.610320e+04  2.600608e+04  2.591274e+04  2.582318e+04  2.573743e+04  2.565548e+04  2.557734e+04  2.550303e+04  2.543254e+04  2.536590e+04  2.530311e+04  2.524418e+04  2.518912e+04  2.513795e+04  2.509069e+04  2.504734e+04  2.500792e+04  2.497246e+04  2.494097e+04  2.491348e+04  2.489002e+04  2.487063e+04  2.485534e+04  2.472400e+04  2.447348e+04  2.422297e+04  2.397245e+04  2.372193e+04  2.354613e+04  2.344602e+04  2.334693e+04  2.324865e+04  2.315103e+04  2.305396e+04  2.295739e+04  2.286124e+04  2.276547e+04  2.267004e+04  2.257493e+04  2.248011e+04  2.238556e+04  2.229125e+04  2.219718e+04  2.210332e+04  2.200966e+04  2.191620e+04  2.182292e+04  2.172981e+04  2.163687e+04  2.154408e+04  2.145145e+04  2.135895e+04  2.126660e+04  2.117438e+04  2.108228e+04  2.099031e+04  2.089845e+04  2.080671e+04  2.071508e+04  2.062356e+04  2.053214e+04  2.044082e+04  2.034960e+04  2.025847e+04  2.016744e+04  2.007649e+04  1.998563e+04  1.989485e+04  1.980416e+04  1.971355e+04  1.962302e+04  1.953256e+04  1.944218e+04  1.935187e+04  1.926164e+04           nan
  1.421900e-08  3.100650e+04  3.080838e+04  3.061409e+04  3.042362e+04  3.023699e+04  3.005420e+04  2.987524e+04  2.970013e+04  2.952887e+04  2.936146e+04  2.919790e+04  2.903820e+04  2.888236e+04  2.873039e+04  2.858230e+04  2.843807e+04  2.829773e+04  2.816128e+04  2.802871e+04  2.790004e+04  2.777527e+04  2.765441e+04  2.753745e+04  2.742442e+04  2.731531e+04  2.721013e+04  2.710888e+04  2.701158e+04  2.691823e+04  2.682884e+04  2.674341e+04  2.666196e+04  2.658450e+04  2.651102e+04  2.644156e+04  2.637610e+04  2.631467e+04  2.625728e+04  2.620394e+04  2.615467e+04  2.610948e+04  2.606840e+04  2.603143e+04  2.599860e+04  2.596995e+04  2.594550e+04  2.592528e+04  2.590935e+04  2.577244e+04  2.551130e+04  2.525016e+04  2.498902e+04  2.472788e+04  2.454462e+04  2.444026e+04  2.433697e+04  2.423452e+04  2.413276e+04  2.403158e+04  2.393091e+04  2.383068e+04  2.373085e+04  2.363138e+04  2.353224e+04  2.343339e+04  2.333483e+04  2.323652e+04  2.313846e+04  2.304062e+04  2.294299e+04  2.284557e+04  2.274833e+04  2.265128e+04  2.255439e+04  2.245767e+04  2.236111e+04  2.226469e+04  2.216842e+04  2.207229e+04  2.197629e+04  2.188041e+04  2.178466e+04  2.168903e+04  2.159352e+04  2.149811e+04  2.140282e+04  2.130763e+04  2.121254e+04  2.111754e+04  2.102265e+04  2.092784e+04  2.083313e+04  2.073851e+04  2.064397e+04  2.054952e+04  2.045514e+04  2.036085e+04  2.026664e+04  2.017250e+04  2.007844e+04           nan
  1.790100e-08  3.215037e+04  3.194494e+04  3.174348e+04  3.154599e+04  3.135248e+04  3.116294e+04  3.097738e+04  3.079581e+04  3.061823e+04  3.044464e+04  3.027505e+04  3.010946e+04  2.994788e+04  2.979030e+04  2.963674e+04  2.948720e+04  2.934168e+04  2.920019e+04  2.906273e+04  2.892931e+04  2.879994e+04  2.867462e+04  2.855335e+04  2.843615e+04  2.832301e+04  2.821395e+04  2.810897e+04  2.800808e+04  2.791128e+04  2.781859e+04  2.773002e+04  2.764556e+04  2.756524e+04  2.748905e+04  2.741702e+04  2.734915e+04  2.728546e+04  2.722595e+04  2.717065e+04  2.711956e+04  2.707270e+04  2.703010e+04  2.699177e+04  2.695773e+04  2.692802e+04  2.690266e+04  2.688170e+04  2.686518e+04  2.672322e+04  2.645244e+04  2.618167e+04  2.591090e+04  2.564012e+04  2.545010e+04  2.534190e+04  2.523480e+04  2.512857e+04  2.502305e+04  2.491814e+04  2.481375e+04  2.470983e+04  2.460632e+04  2.450318e+04  2.440038e+04  2.429789e+04  2.419569e+04  2.409375e+04  2.399207e+04  2.389062e+04  2.378939e+04  2.368837e+04  2.358755e+04  2.348691e+04  2.338646e+04  2.328617e+04  2.318604e+04  2.308607e+04  2.298625e+04  2.288657e+04  2.278702e+04  2.268761e+04  2.258833e+04  2.248917e+04  2.239013e+04  2.229121e+04  2.219240e+04  2.209370e+04  2.199510e+04  2.189660e+04  2.179820e+04  2.169990e+04  2.160170e+04  2.150358e+04  2.140556e+04  2.130762e+04  2.120976e+04  2.111199e+04  2.101430e+04  2.091669e+04  2.081916e+04           nan
  2.253600e-08  3.311938e+04  3.290776e+04  3.270022e+04  3.249678e+04  3.229743e+04  3.210218e+04  3.191104e+04  3.172399e+04  3.154106e+04  3.136224e+04  3.118753e+04  3.101695e+04  3.085050e+04  3.068817e+04  3.052998e+04  3.037593e+04  3.022603e+04  3.008027e+04  2.993867e+04  2.980124e+04  2.966796e+04  2.953886e+04  2.941394e+04  2.929320e+04  2.917666e+04  2.906431e+04  2.895616e+04  2.885223e+04  2.875252e+04  2.865704e+04  2.856579e+04  2.847879e+04  2.839605e+04  2.831757e+04  2.824336e+04  2.817345e+04  2.810784e+04  2.804653e+04  2.798956e+04  2.793693e+04  2.788866e+04  2.784478e+04  2.780529e+04  2.777023e+04  2.773962e+04  2.771350e+04  2.769191e+04  2.767489e+04  2.752865e+04  2.724971e+04  2.697078e+04  2.669184e+04  2.641291e+04  2.621716e+04  2.610570e+04  2.599537e+04  2.588594e+04  2.577724e+04  2.566917e+04  2.556163e+04  2.545458e+04  2.534794e+04  2.524170e+04  2.513580e+04  2.503022e+04  2.492494e+04  2.481993e+04  2.471519e+04  2.461068e+04  2.450640e+04  2.440234e+04  2.429847e+04  2.419480e+04  2.409132e+04  2.398801e+04  2.388486e+04  2.378188e+04  2.367905e+04  2.357636e+04  2.347382e+04  2.337141e+04  2.326914e+04  2.316699e+04  2.306497e+04  2.296306e+04  2.286127e+04  2.275959e+04  2.265802e+04  2.255656e+04  2.245520e+04  2.235393e+04  2.225277e+04  2.215169e+04  2.205071e+04  2.194982e+04  2.184902e+04  2.174830e+04  2.164767e+04  2.154712e+04  2.144664e+04           nan
  2.837100e-08  3.384667e+04  3.363040e+04  3.341831e+04  3.321040e+04  3.300668e+04  3.280714e+04  3.261179e+04  3.242064e+04  3.223369e+04  3.205094e+04  3.187240e+04  3.169808e+04  3.152796e+04  3.136208e+04  3.120041e+04  3.104298e+04  3.088978e+04  3.074083e+04  3.059612e+04  3.045566e+04  3.031946e+04  3.018753e+04  3.005986e+04  2.993647e+04  2.981737e+04  2.970255e+04  2.959203e+04  2.948582e+04  2.938392e+04  2.928634e+04  2.919309e+04  2.910418e+04  2.901962e+04  2.893941e+04  2.886358e+04  2.879213e+04  2.872507e+04  2.866243e+04  2.860420e+04  2.855042e+04  2.850109e+04  2.845624e+04  2.841589e+04  2.838006e+04  2.834878e+04  2.832208e+04  2.830001e+04  2.828262e+04  2.813317e+04  2.784811e+04  2.756305e+04  2.727799e+04  2.699293e+04  2.679288e+04  2.667897e+04  2.656622e+04  2.645439e+04  2.634330e+04  2.623285e+04  2.612296e+04  2.601355e+04  2.590458e+04  2.579599e+04  2.568777e+04  2.557987e+04  2.547228e+04  2.536497e+04  2.525792e+04  2.515112e+04  2.504455e+04  2.493820e+04  2.483206e+04  2.472611e+04  2.462036e+04  2.451478e+04  2.440937e+04  2.430412e+04  2.419903e+04  2.409409e+04  2.398930e+04  2.388464e+04  2.378012e+04  2.367573e+04  2.357147e+04  2.346732e+04  2.336330e+04  2.325939e+04  2.315559e+04  2.305189e+04  2.294830e+04  2.284482e+04  2.274143e+04  2.263814e+04  2.253494e+04  2.243184e+04  2.232882e+04  2.222589e+04  2.212305e+04  2.202028e+04  2.191761e+04           nan
  3.571700e-08  3.425924e+04  3.404034e+04  3.382567e+04  3.361522e+04  3.340901e+04  3.320704e+04  3.300931e+04  3.281583e+04  3.262660e+04  3.244163e+04  3.226091e+04  3.208446e+04  3.191228e+04  3.174436e+04  3.158073e+04  3.142138e+04  3.126632e+04  3.111554e+04  3.096907e+04  3.082690e+04  3.068904e+04  3.055550e+04  3.042628e+04  3.030139e+04  3.018083e+04  3.006461e+04  2.995275e+04  2.984524e+04  2.974210e+04  2.964333e+04  2.954894e+04  2.945894e+04  2.937335e+04  2.929217e+04  2.921541e+04  2.914309e+04  2.907522e+04  2.901181e+04  2.895288e+04  2.889844e+04  2.884851e+04  2.880311e+04  2.876226e+04  2.872600e+04  2.869434e+04  2.866732e+04  2.864498e+04  2.862737e+04  2.847610e+04  2.818757e+04  2.789903e+04  2.761050e+04  2.732196e+04  2.711948e+04  2.700417e+04  2.689005e+04  2.677685e+04  2.666441e+04  2.655262e+04  2.644139e+04  2.633064e+04  2.622034e+04  2.611044e+04  2.600089e+04  2.589168e+04  2.578278e+04  2.567416e+04  2.556581e+04  2.545770e+04  2.534984e+04  2.524219e+04  2.513475e+04  2.502751e+04  2.492047e+04  2.481360e+04  2.470691e+04  2.460038e+04  2.449401e+04  2.438779e+04  2.428172e+04  2.417579e+04  2.406999e+04  2.396433e+04  2.385879e+04  2.375338e+04  2.364809e+04  2.354291e+04  2.343784e+04  2.333289e+04  2.322803e+04  2.312329e+04  2.301864e+04  2.291409e+04  2.280963e+04  2.270527e+04  2.260100e+04  2.249681e+04  2.239272e+04  2.228870e+04  2.218477e+04           nan
