             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= 22.0353 Lon(deg)= -159.782 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  3.604009e+03  3.594061e+03  3.584100e+03  3.574123e+03  3.564127e+03  3.554112e+03  3.544074e+03  3.534011e+03  3.523920e+03  3.513798e+03  3.503642e+03  3.493449e+03  3.483215e+03  3.472937e+03  3.462610e+03  3.452231e+03  3.441795e+03  3.431297e+03  3.420733e+03  3.410095e+03  3.399379e+03  3.388578e+03  3.377685e+03  3.366691e+03  3.355590e+03  3.344371e+03  3.333024e+03  3.321538e+03  3.309901e+03  3.298099e+03  3.286117e+03  3.273937e+03  3.261539e+03  3.248902e+03  3.236000e+03  3.222803e+03  3.209277e+03  3.195381e+03  3.181066e+03  3.166274e+03  3.150933e+03  3.134952e+03  3.118214e+03  3.100568e+03  3.081803e+03  3.061618e+03  3.039558e+03  3.014854e+03  2.991559e+03  2.972475e+03  2.953390e+03  2.934306e+03  2.915221e+03  2.898699e+03  2.885710e+03  2.873656e+03  2.862280e+03  2.851421e+03  2.840973e+03  2.830860e+03  2.821026e+03  2.811425e+03  2.802023e+03  2.792790e+03  2.783704e+03  2.774744e+03  2.765892e+03  2.757134e+03  2.748455e+03  2.739845e+03  2.731292e+03  2.722787e+03  2.714320e+03  2.705885e+03  2.697472e+03  2.689076e+03  2.680690e+03  2.672308e+03  2.663924e+03  2.655532e+03  2.647128e+03  2.638706e+03  2.630263e+03  2.621792e+03  2.613290e+03  2.604753e+03  2.596177e+03  2.587558e+03  2.578891e+03  2.570174e+03  2.561402e+03  2.552573e+03  2.543682e+03  2.534727e+03  2.525703e+03  2.516609e+03  2.507441e+03  2.498195e+03  2.488868e+03  2.479458e+03           nan
  1.421900e-08  3.749314e+03  3.738965e+03  3.728602e+03  3.718222e+03  3.707824e+03  3.697405e+03  3.686962e+03  3.676493e+03  3.665995e+03  3.655465e+03  3.644900e+03  3.634296e+03  3.623649e+03  3.612957e+03  3.602214e+03  3.591416e+03  3.580560e+03  3.569639e+03  3.558648e+03  3.547582e+03  3.536434e+03  3.525197e+03  3.513864e+03  3.502428e+03  3.490879e+03  3.479207e+03  3.467403e+03  3.455454e+03  3.443348e+03  3.431070e+03  3.418604e+03  3.405933e+03  3.393036e+03  3.379890e+03  3.366467e+03  3.352738e+03  3.338667e+03  3.324210e+03  3.309319e+03  3.293930e+03  3.277970e+03  3.261345e+03  3.243933e+03  3.225575e+03  3.206053e+03  3.185055e+03  3.162105e+03  3.136406e+03  3.112171e+03  3.092317e+03  3.072463e+03  3.052610e+03  3.032756e+03  3.015567e+03  3.002054e+03  2.989515e+03  2.977680e+03  2.966383e+03  2.955514e+03  2.944994e+03  2.934762e+03  2.924774e+03  2.914993e+03  2.905389e+03  2.895936e+03  2.886615e+03  2.877406e+03  2.868294e+03  2.859266e+03  2.850309e+03  2.841411e+03  2.832562e+03  2.823755e+03  2.814979e+03  2.806228e+03  2.797493e+03  2.788769e+03  2.780049e+03  2.771327e+03  2.762597e+03  2.753854e+03  2.745092e+03  2.736308e+03  2.727496e+03  2.718651e+03  2.709770e+03  2.700848e+03  2.691881e+03  2.682865e+03  2.673797e+03  2.664671e+03  2.655486e+03  2.646237e+03  2.636920e+03  2.627533e+03  2.618072e+03  2.608534e+03  2.598915e+03  2.589213e+03  2.579424e+03           nan
  1.790100e-08  3.879846e+03  3.869136e+03  3.858412e+03  3.847672e+03  3.836911e+03  3.826130e+03  3.815323e+03  3.804490e+03  3.793627e+03  3.782730e+03  3.771797e+03  3.760823e+03  3.749806e+03  3.738741e+03  3.727624e+03  3.716451e+03  3.705216e+03  3.693915e+03  3.682542e+03  3.671090e+03  3.659554e+03  3.647926e+03  3.636199e+03  3.624364e+03  3.612413e+03  3.600335e+03  3.588120e+03  3.575755e+03  3.563227e+03  3.550522e+03  3.537623e+03  3.524511e+03  3.511164e+03  3.497560e+03  3.483670e+03  3.469463e+03  3.454902e+03  3.439942e+03  3.424532e+03  3.408608e+03  3.392093e+03  3.374888e+03  3.356870e+03  3.337873e+03  3.317671e+03  3.295942e+03  3.272193e+03  3.245599e+03  3.220521e+03  3.199976e+03  3.179431e+03  3.158886e+03  3.138341e+03  3.120553e+03  3.106570e+03  3.093595e+03  3.081347e+03  3.069657e+03  3.058410e+03  3.047523e+03  3.036936e+03  3.026600e+03  3.016478e+03  3.006539e+03  2.996758e+03  2.987112e+03  2.977583e+03  2.968154e+03  2.958811e+03  2.949542e+03  2.940334e+03  2.931178e+03  2.922063e+03  2.912982e+03  2.903926e+03  2.894887e+03  2.885860e+03  2.876836e+03  2.867810e+03  2.858776e+03  2.849729e+03  2.840662e+03  2.831572e+03  2.822453e+03  2.813301e+03  2.804111e+03  2.794878e+03  2.785599e+03  2.776269e+03  2.766884e+03  2.757442e+03  2.747936e+03  2.738365e+03  2.728724e+03  2.719011e+03  2.709220e+03  2.699350e+03  2.689396e+03  2.679356e+03  2.669226e+03           nan
  2.253600e-08  3.988781e+03  3.977771e+03  3.966746e+03  3.955703e+03  3.944641e+03  3.933556e+03  3.922447e+03  3.911309e+03  3.900141e+03  3.888938e+03  3.877698e+03  3.866416e+03  3.855090e+03  3.843714e+03  3.832286e+03  3.820798e+03  3.809248e+03  3.797630e+03  3.785937e+03  3.774164e+03  3.762304e+03  3.750350e+03  3.738293e+03  3.726126e+03  3.713839e+03  3.701422e+03  3.688864e+03  3.676152e+03  3.663273e+03  3.650211e+03  3.636949e+03  3.623469e+03  3.609748e+03  3.595762e+03  3.581482e+03  3.566876e+03  3.551906e+03  3.536526e+03  3.520683e+03  3.504312e+03  3.487333e+03  3.469645e+03  3.451121e+03  3.431591e+03  3.410822e+03  3.388483e+03  3.364067e+03  3.336726e+03  3.310944e+03  3.289822e+03  3.268700e+03  3.247578e+03  3.226456e+03  3.208170e+03  3.193794e+03  3.180454e+03  3.167863e+03  3.155845e+03  3.144281e+03  3.133089e+03  3.122204e+03  3.111578e+03  3.101172e+03  3.090954e+03  3.080898e+03  3.070981e+03  3.061185e+03  3.051491e+03  3.041886e+03  3.032356e+03  3.022890e+03  3.013477e+03  3.004107e+03  2.994770e+03  2.985460e+03  2.976168e+03  2.966886e+03  2.957609e+03  2.948330e+03  2.939042e+03  2.929741e+03  2.920420e+03  2.911075e+03  2.901700e+03  2.892290e+03  2.882842e+03  2.873350e+03  2.863810e+03  2.854219e+03  2.844571e+03  2.834863e+03  2.825091e+03  2.815251e+03  2.805339e+03  2.795353e+03  2.785287e+03  2.775140e+03  2.764907e+03  2.754585e+03  2.744170e+03           nan
  2.837100e-08  4.068213e+03  4.056983e+03  4.045739e+03  4.034476e+03  4.023194e+03  4.011889e+03  4.000558e+03  3.989198e+03  3.977807e+03  3.966382e+03  3.954918e+03  3.943412e+03  3.931860e+03  3.920258e+03  3.908601e+03  3.896885e+03  3.885105e+03  3.873255e+03  3.861329e+03  3.849322e+03  3.837226e+03  3.825033e+03  3.812737e+03  3.800328e+03  3.787796e+03  3.775132e+03  3.762323e+03  3.749358e+03  3.736222e+03  3.722900e+03  3.709375e+03  3.695626e+03  3.681632e+03  3.667367e+03  3.652803e+03  3.637906e+03  3.622638e+03  3.606952e+03  3.590793e+03  3.574096e+03  3.556779e+03  3.538739e+03  3.519846e+03  3.499927e+03  3.478744e+03  3.455961e+03  3.431059e+03  3.403173e+03  3.376878e+03  3.355335e+03  3.333793e+03  3.312250e+03  3.290707e+03  3.272057e+03  3.257395e+03  3.243789e+03  3.230947e+03  3.218689e+03  3.206896e+03  3.195481e+03  3.184379e+03  3.173542e+03  3.162928e+03  3.152507e+03  3.142251e+03  3.132136e+03  3.122144e+03  3.112258e+03  3.102462e+03  3.092742e+03  3.083087e+03  3.073487e+03  3.063930e+03  3.054408e+03  3.044912e+03  3.035435e+03  3.025968e+03  3.016507e+03  3.007042e+03  2.997570e+03  2.988083e+03  2.978577e+03  2.969045e+03  2.959484e+03  2.949887e+03  2.940250e+03  2.930570e+03  2.920840e+03  2.911057e+03  2.901217e+03  2.891316e+03  2.881349e+03  2.871313e+03  2.861204e+03  2.851019e+03  2.840753e+03  2.830404e+03  2.819967e+03  2.809439e+03  2.798817e+03           nan
  3.571700e-08  4.109560e+03  4.098217e+03  4.086858e+03  4.075481e+03  4.064084e+03  4.052664e+03  4.041218e+03  4.029743e+03  4.018236e+03  4.006694e+03  3.995114e+03  3.983491e+03  3.971821e+03  3.960101e+03  3.948326e+03  3.936491e+03  3.924591e+03  3.912621e+03  3.900574e+03  3.888445e+03  3.876226e+03  3.863909e+03  3.851488e+03  3.838952e+03  3.826294e+03  3.813501e+03  3.800562e+03  3.787465e+03  3.774196e+03  3.760738e+03  3.747075e+03  3.733186e+03  3.719050e+03  3.704640e+03  3.689928e+03  3.674880e+03  3.659457e+03  3.643611e+03  3.627289e+03  3.610422e+03  3.592929e+03  3.574705e+03  3.555620e+03  3.535498e+03  3.514101e+03  3.491086e+03  3.465930e+03  3.437762e+03  3.411199e+03  3.389437e+03  3.367676e+03  3.345914e+03  3.324153e+03  3.305312e+03  3.290501e+03  3.276757e+03  3.263785e+03  3.251403e+03  3.239490e+03  3.227958e+03  3.216744e+03  3.205796e+03  3.195075e+03  3.184548e+03  3.174187e+03  3.163970e+03  3.153877e+03  3.143890e+03  3.133994e+03  3.124175e+03  3.114423e+03  3.104724e+03  3.095070e+03  3.085451e+03  3.075859e+03  3.066285e+03  3.056723e+03  3.047165e+03  3.037605e+03  3.028036e+03  3.018453e+03  3.008850e+03  2.999221e+03  2.989563e+03  2.979868e+03  2.970134e+03  2.960355e+03  2.950526e+03  2.940644e+03  2.930704e+03  2.920702e+03  2.910634e+03  2.900496e+03  2.890284e+03  2.879995e+03  2.869625e+03  2.859171e+03  2.848628e+03  2.837993e+03  2.827263e+03           nan
