             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= 31.7797 Lon(deg)= -95.7137 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  1.405494e+04  1.395730e+04  1.386176e+04  1.376834e+04  1.367702e+04  1.358779e+04  1.350066e+04  1.341563e+04  1.333268e+04  1.325181e+04  1.317302e+04  1.309631e+04  1.302166e+04  1.294908e+04  1.287856e+04  1.281010e+04  1.274369e+04  1.267932e+04  1.261699e+04  1.255670e+04  1.249844e+04  1.244221e+04  1.238799e+04  1.233579e+04  1.228560e+04  1.223741e+04  1.219121e+04  1.214700e+04  1.210478e+04  1.206453e+04  1.202625e+04  1.198993e+04  1.195557e+04  1.192315e+04  1.189267e+04  1.186412e+04  1.183750e+04  1.181278e+04  1.178997e+04  1.176905e+04  1.175001e+04  1.173284e+04  1.171753e+04  1.170407e+04  1.169244e+04  1.168263e+04  1.167462e+04  1.166839e+04  1.161214e+04  1.150453e+04  1.139693e+04  1.128932e+04  1.118172e+04  1.110470e+04  1.105880e+04  1.101345e+04  1.096849e+04  1.092383e+04  1.087943e+04  1.083524e+04  1.079122e+04  1.074735e+04  1.070362e+04  1.066000e+04  1.061648e+04  1.057305e+04  1.052971e+04  1.048644e+04  1.044323e+04  1.040009e+04  1.035700e+04  1.031397e+04  1.027098e+04  1.022804e+04  1.018514e+04  1.014228e+04  1.009945e+04  1.005665e+04  1.001388e+04  9.971147e+03  9.928436e+03  9.885750e+03  9.843087e+03  9.800446e+03  9.757826e+03  9.715225e+03  9.672642e+03  9.630076e+03  9.587527e+03  9.544992e+03  9.502472e+03  9.459965e+03  9.417471e+03  9.374989e+03  9.332518e+03  9.290058e+03  9.247608e+03  9.205167e+03  9.162736e+03  9.120312e+03           nan
  1.421900e-08  1.464271e+04  1.454098e+04  1.444145e+04  1.434412e+04  1.424898e+04  1.415602e+04  1.406525e+04  1.397666e+04  1.389024e+04  1.380599e+04  1.372391e+04  1.364398e+04  1.356622e+04  1.349060e+04  1.341713e+04  1.334581e+04  1.327662e+04  1.320956e+04  1.314463e+04  1.308182e+04  1.302112e+04  1.296253e+04  1.290605e+04  1.285167e+04  1.279937e+04  1.274917e+04  1.270104e+04  1.265498e+04  1.261099e+04  1.256906e+04  1.252918e+04  1.249134e+04  1.245554e+04  1.242177e+04  1.239002e+04  1.236027e+04  1.233253e+04  1.230678e+04  1.228302e+04  1.226122e+04  1.224139e+04  1.222350e+04  1.220755e+04  1.219352e+04  1.218141e+04  1.217119e+04  1.216284e+04  1.215635e+04  1.209775e+04  1.198565e+04  1.187354e+04  1.176143e+04  1.164933e+04  1.156909e+04  1.152127e+04  1.147402e+04  1.142718e+04  1.138066e+04  1.133440e+04  1.128836e+04  1.124250e+04  1.119680e+04  1.115124e+04  1.110579e+04  1.106045e+04  1.101521e+04  1.097005e+04  1.092497e+04  1.087996e+04  1.083501e+04  1.079013e+04  1.074529e+04  1.070051e+04  1.065577e+04  1.061108e+04  1.056642e+04  1.052180e+04  1.047721e+04  1.043266e+04  1.038813e+04  1.034364e+04  1.029916e+04  1.025472e+04  1.021029e+04  1.016589e+04  1.012151e+04  1.007715e+04  1.003280e+04  9.988470e+03  9.944157e+03  9.899859e+03  9.855574e+03  9.811303e+03  9.767045e+03  9.722798e+03  9.678562e+03  9.634337e+03  9.590121e+03  9.545915e+03  9.501717e+03           nan
  1.790100e-08  1.517436e+04  1.506894e+04  1.496580e+04  1.486493e+04  1.476633e+04  1.467000e+04  1.457594e+04  1.448413e+04  1.439457e+04  1.430726e+04  1.422220e+04  1.413937e+04  1.405878e+04  1.398042e+04  1.390429e+04  1.383037e+04  1.375867e+04  1.368918e+04  1.362189e+04  1.355680e+04  1.349390e+04  1.343318e+04  1.337465e+04  1.331829e+04  1.326410e+04  1.321207e+04  1.316219e+04  1.311446e+04  1.306888e+04  1.302542e+04  1.298409e+04  1.294488e+04  1.290778e+04  1.287278e+04  1.283988e+04  1.280905e+04  1.278031e+04  1.275362e+04  1.272899e+04  1.270640e+04  1.268585e+04  1.266732e+04  1.265079e+04  1.263625e+04  1.262369e+04  1.261310e+04  1.260445e+04  1.259773e+04  1.253700e+04  1.242082e+04  1.230465e+04  1.218847e+04  1.207230e+04  1.198914e+04  1.193959e+04  1.189062e+04  1.184208e+04  1.179387e+04  1.174594e+04  1.169822e+04  1.165070e+04  1.160334e+04  1.155612e+04  1.150902e+04  1.146204e+04  1.141515e+04  1.136836e+04  1.132164e+04  1.127499e+04  1.122842e+04  1.118190e+04  1.113544e+04  1.108903e+04  1.104266e+04  1.099635e+04  1.095007e+04  1.090383e+04  1.085762e+04  1.081145e+04  1.076531e+04  1.071920e+04  1.067311e+04  1.062705e+04  1.058101e+04  1.053500e+04  1.048900e+04  1.044303e+04  1.039707e+04  1.035114e+04  1.030521e+04  1.025931e+04  1.021341e+04  1.016754e+04  1.012167e+04  1.007582e+04  1.002997e+04  9.984143e+03  9.938322e+03  9.892511e+03  9.846709e+03           nan
  2.253600e-08  1.562292e+04  1.551439e+04  1.540820e+04  1.530435e+04  1.520283e+04  1.510366e+04  1.500681e+04  1.491228e+04  1.482008e+04  1.473019e+04  1.464261e+04  1.455734e+04  1.447437e+04  1.439369e+04  1.431531e+04  1.423920e+04  1.416538e+04  1.409384e+04  1.402456e+04  1.395754e+04  1.389278e+04  1.383027e+04  1.377001e+04  1.371198e+04  1.365619e+04  1.360262e+04  1.355127e+04  1.350213e+04  1.345520e+04  1.341046e+04  1.336791e+04  1.332754e+04  1.328934e+04  1.325331e+04  1.321943e+04  1.318770e+04  1.315810e+04  1.313062e+04  1.310527e+04  1.308201e+04  1.306085e+04  1.304177e+04  1.302475e+04  1.300979e+04  1.299686e+04  1.298595e+04  1.297705e+04  1.297013e+04  1.290760e+04  1.278799e+04  1.266838e+04  1.254877e+04  1.242916e+04  1.234355e+04  1.229253e+04  1.224212e+04  1.219214e+04  1.214251e+04  1.209315e+04  1.204403e+04  1.199510e+04  1.194634e+04  1.189772e+04  1.184924e+04  1.180086e+04  1.175259e+04  1.170441e+04  1.165631e+04  1.160829e+04  1.156033e+04  1.151244e+04  1.146461e+04  1.141682e+04  1.136909e+04  1.132140e+04  1.127376e+04  1.122615e+04  1.117858e+04  1.113104e+04  1.108354e+04  1.103606e+04  1.098861e+04  1.094119e+04  1.089379e+04  1.084642e+04  1.079906e+04  1.075173e+04  1.070442e+04  1.065712e+04  1.060984e+04  1.056258e+04  1.051533e+04  1.046809e+04  1.042087e+04  1.037366e+04  1.032647e+04  1.027928e+04  1.023210e+04  1.018494e+04  1.013778e+04           nan
  2.837100e-08  1.595702e+04  1.584616e+04  1.573770e+04  1.563163e+04  1.552795e+04  1.542665e+04  1.532773e+04  1.523118e+04  1.513701e+04  1.504520e+04  1.495575e+04  1.486865e+04  1.478390e+04  1.470150e+04  1.462144e+04  1.454371e+04  1.446831e+04  1.439523e+04  1.432447e+04  1.425602e+04  1.418988e+04  1.412603e+04  1.406448e+04  1.400522e+04  1.394823e+04  1.389351e+04  1.384107e+04  1.379088e+04  1.374294e+04  1.369724e+04  1.365378e+04  1.361255e+04  1.357353e+04  1.353673e+04  1.350213e+04  1.346971e+04  1.343948e+04  1.341142e+04  1.338552e+04  1.336177e+04  1.334016e+04  1.332067e+04  1.330328e+04  1.328800e+04  1.327480e+04  1.326365e+04  1.325456e+04  1.324749e+04  1.318363e+04  1.306146e+04  1.293929e+04  1.281712e+04  1.269496e+04  1.260751e+04  1.255541e+04  1.250391e+04  1.245287e+04  1.240217e+04  1.235176e+04  1.230159e+04  1.225161e+04  1.220181e+04  1.215216e+04  1.210263e+04  1.205322e+04  1.200392e+04  1.195471e+04  1.190558e+04  1.185653e+04  1.180755e+04  1.175863e+04  1.170978e+04  1.166097e+04  1.161222e+04  1.156351e+04  1.151485e+04  1.146622e+04  1.141763e+04  1.136908e+04  1.132056e+04  1.127207e+04  1.122360e+04  1.117517e+04  1.112676e+04  1.107837e+04  1.103000e+04  1.098166e+04  1.093333e+04  1.088502e+04  1.083673e+04  1.078846e+04  1.074020e+04  1.069195e+04  1.064372e+04  1.059550e+04  1.054730e+04  1.049910e+04  1.045092e+04  1.040274e+04  1.035458e+04           nan
  3.571700e-08  1.614245e+04  1.603030e+04  1.592058e+04  1.581328e+04  1.570839e+04  1.560591e+04  1.550584e+04  1.540818e+04  1.531291e+04  1.522003e+04  1.512954e+04  1.504143e+04  1.495570e+04  1.487234e+04  1.479135e+04  1.471271e+04  1.463644e+04  1.456251e+04  1.449093e+04  1.442168e+04  1.435477e+04  1.429018e+04  1.422792e+04  1.416796e+04  1.411031e+04  1.405496e+04  1.400190e+04  1.395113e+04  1.390264e+04  1.385641e+04  1.381244e+04  1.377073e+04  1.373126e+04  1.369403e+04  1.365903e+04  1.362624e+04  1.359566e+04  1.356727e+04  1.354107e+04  1.351704e+04  1.349517e+04  1.347546e+04  1.345787e+04  1.344241e+04  1.342905e+04  1.341778e+04  1.340858e+04  1.340143e+04  1.333683e+04  1.321324e+04  1.308965e+04  1.296606e+04  1.284248e+04  1.275402e+04  1.270131e+04  1.264921e+04  1.259758e+04  1.254629e+04  1.249530e+04  1.244454e+04  1.239398e+04  1.234360e+04  1.229337e+04  1.224327e+04  1.219329e+04  1.214341e+04  1.209363e+04  1.204393e+04  1.199431e+04  1.194476e+04  1.189527e+04  1.184585e+04  1.179648e+04  1.174716e+04  1.169788e+04  1.164865e+04  1.159946e+04  1.155031e+04  1.150119e+04  1.145211e+04  1.140305e+04  1.135403e+04  1.130503e+04  1.125605e+04  1.120710e+04  1.115817e+04  1.110927e+04  1.106038e+04  1.101151e+04  1.096266e+04  1.091382e+04  1.086500e+04  1.081620e+04  1.076741e+04  1.071863e+04  1.066986e+04  1.062111e+04  1.057236e+04  1.052363e+04  1.047490e+04           nan
