             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= 42.4995 Lon(deg)= 143.433 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  6.368145e+03  6.325875e+03  6.284681e+03  6.244551e+03  6.205475e+03  6.167439e+03  6.130432e+03  6.094441e+03  6.059454e+03  6.025458e+03  5.992440e+03  5.960386e+03  5.929283e+03  5.899118e+03  5.869876e+03  5.841543e+03  5.814104e+03  5.787544e+03  5.761848e+03  5.737000e+03  5.712982e+03  5.689780e+03  5.667375e+03  5.645749e+03  5.624884e+03  5.604761e+03  5.585360e+03  5.566660e+03  5.548639e+03  5.531275e+03  5.514543e+03  5.498417e+03  5.482872e+03  5.467878e+03  5.453404e+03  5.439416e+03  5.425877e+03  5.412747e+03  5.399981e+03  5.387526e+03  5.375324e+03  5.363304e+03  5.351384e+03  5.339458e+03  5.327393e+03  5.315006e+03  5.302035e+03  5.288059e+03  5.258908e+03  5.215770e+03  5.172632e+03  5.129493e+03  5.086355e+03  5.052684e+03  5.029363e+03  5.006911e+03  4.985104e+03  4.963803e+03  4.942912e+03  4.922362e+03  4.902104e+03  4.882097e+03  4.862310e+03  4.842718e+03  4.823299e+03  4.804037e+03  4.784915e+03  4.765923e+03  4.747048e+03  4.728281e+03  4.709614e+03  4.691040e+03  4.672550e+03  4.654141e+03  4.635806e+03  4.617541e+03  4.599341e+03  4.581202e+03  4.563122e+03  4.545095e+03  4.527120e+03  4.509194e+03  4.491314e+03  4.473477e+03  4.455682e+03  4.437926e+03  4.420208e+03  4.402525e+03  4.384876e+03  4.367260e+03  4.349675e+03  4.332119e+03  4.314591e+03  4.297091e+03  4.279616e+03  4.262166e+03  4.244740e+03  4.227337e+03  4.209955e+03  4.192595e+03           nan
  1.421900e-08  6.629085e+03  6.585082e+03  6.542200e+03  6.500427e+03  6.459749e+03  6.420154e+03  6.381631e+03  6.344165e+03  6.307745e+03  6.272355e+03  6.237984e+03  6.204617e+03  6.172240e+03  6.140839e+03  6.110399e+03  6.080905e+03  6.052341e+03  6.024693e+03  5.997944e+03  5.972077e+03  5.947076e+03  5.922923e+03  5.899600e+03  5.877088e+03  5.855368e+03  5.834421e+03  5.814224e+03  5.794758e+03  5.775999e+03  5.757923e+03  5.740505e+03  5.723719e+03  5.707537e+03  5.691928e+03  5.676861e+03  5.662300e+03  5.648207e+03  5.634539e+03  5.621249e+03  5.608284e+03  5.595582e+03  5.583070e+03  5.570661e+03  5.558246e+03  5.545687e+03  5.532793e+03  5.519290e+03  5.504741e+03  5.474396e+03  5.429490e+03  5.384584e+03  5.339678e+03  5.294772e+03  5.259722e+03  5.235445e+03  5.212073e+03  5.189373e+03  5.167198e+03  5.145451e+03  5.124060e+03  5.102971e+03  5.082145e+03  5.061547e+03  5.041152e+03  5.020937e+03  5.000885e+03  4.980981e+03  4.961210e+03  4.941562e+03  4.922026e+03  4.902594e+03  4.883258e+03  4.864012e+03  4.844848e+03  4.825762e+03  4.806748e+03  4.787802e+03  4.768921e+03  4.750099e+03  4.731334e+03  4.712622e+03  4.693961e+03  4.675349e+03  4.656781e+03  4.638257e+03  4.619773e+03  4.601329e+03  4.582922e+03  4.564550e+03  4.546212e+03  4.527906e+03  4.509631e+03  4.491385e+03  4.473167e+03  4.454977e+03  4.436812e+03  4.418672e+03  4.400555e+03  4.382462e+03  4.364390e+03           nan
  1.790100e-08  6.864214e+03  6.818651e+03  6.774248e+03  6.730993e+03  6.688872e+03  6.647874e+03  6.607984e+03  6.569189e+03  6.531477e+03  6.494832e+03  6.459242e+03  6.424691e+03  6.391166e+03  6.358651e+03  6.327131e+03  6.296591e+03  6.267015e+03  6.238386e+03  6.210688e+03  6.183904e+03  6.158016e+03  6.133006e+03  6.108855e+03  6.085545e+03  6.063055e+03  6.041364e+03  6.020452e+03  6.000295e+03  5.980870e+03  5.962153e+03  5.944117e+03  5.926736e+03  5.909980e+03  5.893818e+03  5.878216e+03  5.863139e+03  5.848545e+03  5.834393e+03  5.820632e+03  5.807207e+03  5.794054e+03  5.781098e+03  5.768249e+03  5.755394e+03  5.742389e+03  5.729038e+03  5.715056e+03  5.699991e+03  5.668570e+03  5.622071e+03  5.575572e+03  5.529073e+03  5.482575e+03  5.446281e+03  5.421143e+03  5.396942e+03  5.373437e+03  5.350476e+03  5.327957e+03  5.305807e+03  5.283971e+03  5.262405e+03  5.241077e+03  5.219958e+03  5.199027e+03  5.178264e+03  5.157653e+03  5.137181e+03  5.116836e+03  5.096608e+03  5.076486e+03  5.056465e+03  5.036535e+03  5.016692e+03  4.996929e+03  4.977241e+03  4.957623e+03  4.938071e+03  4.918582e+03  4.899152e+03  4.879776e+03  4.860454e+03  4.841180e+03  4.821954e+03  4.802773e+03  4.783634e+03  4.764535e+03  4.745475e+03  4.726452e+03  4.707463e+03  4.688508e+03  4.669585e+03  4.650692e+03  4.631828e+03  4.612992e+03  4.594183e+03  4.575400e+03  4.556640e+03  4.537905e+03  4.519192e+03           nan
  2.253600e-08  7.061404e+03  7.014532e+03  6.968854e+03  6.924356e+03  6.881025e+03  6.838849e+03  6.797813e+03  6.757904e+03  6.719108e+03  6.681411e+03  6.644798e+03  6.609255e+03  6.574766e+03  6.541317e+03  6.508892e+03  6.477474e+03  6.447048e+03  6.417597e+03  6.389103e+03  6.361550e+03  6.334918e+03  6.309190e+03  6.284345e+03  6.260365e+03  6.237229e+03  6.214916e+03  6.193402e+03  6.172667e+03  6.152684e+03  6.133429e+03  6.114875e+03  6.096995e+03  6.079757e+03  6.063131e+03  6.047081e+03  6.031570e+03  6.016558e+03  6.001998e+03  5.987842e+03  5.974031e+03  5.960501e+03  5.947173e+03  5.933955e+03  5.920730e+03  5.907352e+03  5.893617e+03  5.879234e+03  5.863736e+03  5.831412e+03  5.783577e+03  5.735743e+03  5.687908e+03  5.640074e+03  5.602737e+03  5.576877e+03  5.551981e+03  5.527801e+03  5.504180e+03  5.481015e+03  5.458228e+03  5.435765e+03  5.413580e+03  5.391639e+03  5.369913e+03  5.348381e+03  5.327021e+03  5.305818e+03  5.284758e+03  5.263829e+03  5.243019e+03  5.222320e+03  5.201723e+03  5.181221e+03  5.160808e+03  5.140477e+03  5.120223e+03  5.100042e+03  5.079928e+03  5.059879e+03  5.039891e+03  5.019959e+03  5.000081e+03  4.980254e+03  4.960476e+03  4.940743e+03  4.921055e+03  4.901407e+03  4.881800e+03  4.862230e+03  4.842696e+03  4.823196e+03  4.803729e+03  4.784293e+03  4.764888e+03  4.745511e+03  4.726161e+03  4.706838e+03  4.687540e+03  4.668266e+03  4.649016e+03           nan
  2.837100e-08  7.206576e+03  7.158741e+03  7.112123e+03  7.066710e+03  7.022489e+03  6.979445e+03  6.937566e+03  6.896836e+03  6.857243e+03  6.818771e+03  6.781405e+03  6.745131e+03  6.709934e+03  6.675797e+03  6.642705e+03  6.610642e+03  6.579590e+03  6.549533e+03  6.520454e+03  6.492334e+03  6.465155e+03  6.438897e+03  6.413542e+03  6.389069e+03  6.365457e+03  6.342685e+03  6.320730e+03  6.299567e+03  6.279174e+03  6.259523e+03  6.240588e+03  6.222340e+03  6.204748e+03  6.187780e+03  6.171400e+03  6.155570e+03  6.140249e+03  6.125391e+03  6.110943e+03  6.096849e+03  6.083040e+03  6.069438e+03  6.055948e+03  6.042452e+03  6.028798e+03  6.014781e+03  6.000102e+03  5.984286e+03  5.951297e+03  5.902479e+03  5.853661e+03  5.804843e+03  5.756025e+03  5.717921e+03  5.691529e+03  5.666122e+03  5.641444e+03  5.617338e+03  5.593696e+03  5.570442e+03  5.547516e+03  5.524875e+03  5.502483e+03  5.480311e+03  5.458335e+03  5.436537e+03  5.414898e+03  5.393405e+03  5.372045e+03  5.350808e+03  5.329683e+03  5.308663e+03  5.287739e+03  5.266906e+03  5.246157e+03  5.225487e+03  5.204891e+03  5.184364e+03  5.163903e+03  5.143503e+03  5.123162e+03  5.102875e+03  5.082641e+03  5.062456e+03  5.042318e+03  5.022224e+03  5.002173e+03  4.982162e+03  4.962190e+03  4.942254e+03  4.922354e+03  4.902486e+03  4.882651e+03  4.862847e+03  4.843071e+03  4.823324e+03  4.803604e+03  4.783909e+03  4.764239e+03  4.744593e+03           nan
  3.571700e-08  7.284421e+03  7.236068e+03  7.188947e+03  7.143044e+03  7.098345e+03  7.054836e+03  7.012504e+03  6.971335e+03  6.931314e+03  6.892426e+03  6.854657e+03  6.817991e+03  6.782414e+03  6.747908e+03  6.714459e+03  6.682049e+03  6.650662e+03  6.620281e+03  6.590887e+03  6.562463e+03  6.534990e+03  6.508449e+03  6.482821e+03  6.458083e+03  6.434216e+03  6.411198e+03  6.389005e+03  6.367615e+03  6.347001e+03  6.327138e+03  6.307998e+03  6.289553e+03  6.271771e+03  6.254619e+03  6.238063e+03  6.222062e+03  6.206575e+03  6.191556e+03  6.176953e+03  6.162706e+03  6.148748e+03  6.134999e+03  6.121363e+03  6.107722e+03  6.093921e+03  6.079752e+03  6.064914e+03  6.048927e+03  6.015582e+03  5.966237e+03  5.916892e+03  5.867546e+03  5.818201e+03  5.779686e+03  5.753009e+03  5.727326e+03  5.702382e+03  5.678016e+03  5.654119e+03  5.630613e+03  5.607439e+03  5.584554e+03  5.561920e+03  5.539508e+03  5.517296e+03  5.495262e+03  5.473389e+03  5.451664e+03  5.430073e+03  5.408606e+03  5.387253e+03  5.366006e+03  5.344857e+03  5.323798e+03  5.302825e+03  5.281932e+03  5.261114e+03  5.240365e+03  5.219683e+03  5.199063e+03  5.178501e+03  5.157996e+03  5.137543e+03  5.117140e+03  5.096784e+03  5.076473e+03  5.056206e+03  5.035979e+03  5.015791e+03  4.995640e+03  4.975524e+03  4.955442e+03  4.935393e+03  4.915374e+03  4.895386e+03  4.875425e+03  4.855491e+03  4.835584e+03  4.815702e+03  4.795843e+03           nan
