             1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46            47            48            49            50            51            52            53            54            55            56            57            58            59            60            61            62            63            64            65            66            67            68            69            70            71            72            73            74            75            76            77            78            79            80            81            82            83            84            85            86            87            88            89            90            91            92            93            94            95            96            97            98            99           100           101           102
 *****************  New condition ***********************************************************************************************
 Year= 2021 Month= 3 Day= 21 Lat(deg)= -44.6953 Lon(deg)= 169.141 Alti(m)= 30000 g= 10
 Particle name = neutro
 E(MeV/n) /cos            -1         -0.98         -0.96         -0.94         -0.92          -0.9         -0.88         -0.86         -0.84         -0.82          -0.8         -0.78         -0.76         -0.74         -0.72          -0.7         -0.68         -0.66         -0.64         -0.62          -0.6         -0.58         -0.56         -0.54         -0.52          -0.5         -0.48         -0.46         -0.44         -0.42          -0.4         -0.38         -0.36         -0.34         -0.32          -0.3         -0.28         -0.26         -0.24         -0.22          -0.2         -0.18         -0.16         -0.14         -0.12          -0.1         -0.08         -0.06         -0.04         -0.02             0          0.02          0.04          0.06          0.08           0.1          0.12          0.14          0.16          0.18           0.2          0.22          0.24          0.26          0.28           0.3          0.32          0.34          0.36          0.38           0.4          0.42          0.44          0.46          0.48           0.5          0.52          0.54          0.56          0.58           0.6          0.62          0.64          0.66          0.68           0.7          0.72          0.74          0.76          0.78           0.8          0.82          0.84          0.86          0.88           0.9          0.92          0.94          0.96          0.98             1 (/(MeV/n)/cm2/s/sr)
  1.129400e-08  2.298586e+04  2.283109e+04  2.267957e+04  2.253130e+04  2.238628e+04  2.224451e+04  2.210597e+04  2.197067e+04  2.183861e+04  2.170978e+04  2.158417e+04  2.146179e+04  2.134262e+04  2.122668e+04  2.111394e+04  2.100442e+04  2.089810e+04  2.079497e+04  2.069505e+04  2.059831e+04  2.050477e+04  2.041440e+04  2.032721e+04  2.024320e+04  2.016236e+04  2.008467e+04  2.001015e+04  1.993878e+04  1.987055e+04  1.980547e+04  1.974351e+04  1.968469e+04  1.962899e+04  1.957641e+04  1.952693e+04  1.948055e+04  1.943726e+04  1.939706e+04  1.935993e+04  1.932586e+04  1.929485e+04  1.926688e+04  1.924194e+04  1.922003e+04  1.920111e+04  1.918518e+04  1.917222e+04  1.916221e+04  1.906128e+04  1.886725e+04  1.867322e+04  1.847919e+04  1.828516e+04  1.815218e+04  1.808044e+04  1.800888e+04  1.793746e+04  1.786616e+04  1.779496e+04  1.772384e+04  1.765280e+04  1.758182e+04  1.751091e+04  1.744004e+04  1.736923e+04  1.729846e+04  1.722774e+04  1.715705e+04  1.708640e+04  1.701578e+04  1.694520e+04  1.687465e+04  1.680412e+04  1.673363e+04  1.666316e+04  1.659271e+04  1.652229e+04  1.645189e+04  1.638151e+04  1.631116e+04  1.624082e+04  1.617051e+04  1.610021e+04  1.602993e+04  1.595967e+04  1.588942e+04  1.581919e+04  1.574898e+04  1.567878e+04  1.560860e+04  1.553843e+04  1.546828e+04  1.539813e+04  1.532801e+04  1.525789e+04  1.518779e+04  1.511770e+04  1.504763e+04  1.497756e+04  1.490751e+04           nan
  1.421900e-08  2.395590e+04  2.379460e+04  2.363669e+04  2.348216e+04  2.333102e+04  2.318326e+04  2.303888e+04  2.289788e+04  2.276024e+04  2.262597e+04  2.249506e+04  2.236751e+04  2.224332e+04  2.212248e+04  2.200499e+04  2.189084e+04  2.178003e+04  2.167256e+04  2.156842e+04  2.146760e+04  2.137010e+04  2.127593e+04  2.118506e+04  2.109750e+04  2.101324e+04  2.093228e+04  2.085461e+04  2.078023e+04  2.070912e+04  2.064129e+04  2.057673e+04  2.051542e+04  2.045737e+04  2.040256e+04  2.035100e+04  2.030266e+04  2.025755e+04  2.021565e+04  2.017695e+04  2.014145e+04  2.010913e+04  2.007998e+04  2.005399e+04  2.003114e+04  2.001143e+04  1.999483e+04  1.998132e+04  1.997089e+04  1.986570e+04  1.966348e+04  1.946126e+04  1.925904e+04  1.905682e+04  1.891823e+04  1.884346e+04  1.876888e+04  1.869445e+04  1.862014e+04  1.854594e+04  1.847182e+04  1.839778e+04  1.832381e+04  1.824990e+04  1.817605e+04  1.810224e+04  1.802849e+04  1.795478e+04  1.788111e+04  1.780748e+04  1.773388e+04  1.766032e+04  1.758679e+04  1.751329e+04  1.743982e+04  1.736637e+04  1.729295e+04  1.721956e+04  1.714619e+04  1.707284e+04  1.699952e+04  1.692621e+04  1.685293e+04  1.677967e+04  1.670642e+04  1.663319e+04  1.655998e+04  1.648679e+04  1.641361e+04  1.634045e+04  1.626731e+04  1.619418e+04  1.612106e+04  1.604796e+04  1.597488e+04  1.590180e+04  1.582874e+04  1.575570e+04  1.568266e+04  1.560964e+04  1.553663e+04           nan
  1.790100e-08  2.483481e+04  2.466759e+04  2.450389e+04  2.434369e+04  2.418701e+04  2.403383e+04  2.388415e+04  2.373797e+04  2.359528e+04  2.345609e+04  2.332038e+04  2.318815e+04  2.305940e+04  2.293413e+04  2.281233e+04  2.269399e+04  2.257911e+04  2.246770e+04  2.235973e+04  2.225522e+04  2.215415e+04  2.205651e+04  2.196231e+04  2.187154e+04  2.178419e+04  2.170026e+04  2.161974e+04  2.154263e+04  2.146891e+04  2.139859e+04  2.133166e+04  2.126811e+04  2.120793e+04  2.115111e+04  2.109765e+04  2.104754e+04  2.100077e+04  2.095733e+04  2.091722e+04  2.088041e+04  2.084690e+04  2.081669e+04  2.078974e+04  2.076606e+04  2.074563e+04  2.072842e+04  2.071441e+04  2.070359e+04  2.059455e+04  2.038491e+04  2.017527e+04  1.996563e+04  1.975599e+04  1.961232e+04  1.953481e+04  1.945749e+04  1.938033e+04  1.930329e+04  1.922637e+04  1.914953e+04  1.907277e+04  1.899609e+04  1.891946e+04  1.884290e+04  1.876639e+04  1.868993e+04  1.861352e+04  1.853714e+04  1.846081e+04  1.838451e+04  1.830825e+04  1.823203e+04  1.815583e+04  1.807966e+04  1.800352e+04  1.792741e+04  1.785132e+04  1.777526e+04  1.769922e+04  1.762321e+04  1.754722e+04  1.747124e+04  1.739529e+04  1.731936e+04  1.724344e+04  1.716755e+04  1.709167e+04  1.701581e+04  1.693996e+04  1.686414e+04  1.678832e+04  1.671253e+04  1.663674e+04  1.656097e+04  1.648522e+04  1.640948e+04  1.633375e+04  1.625804e+04  1.618234e+04  1.610665e+04           nan
  2.253600e-08  2.557833e+04  2.540610e+04  2.523749e+04  2.507250e+04  2.491113e+04  2.475336e+04  2.459920e+04  2.444865e+04  2.430169e+04  2.415832e+04  2.401855e+04  2.388236e+04  2.374976e+04  2.362074e+04  2.349529e+04  2.337341e+04  2.325510e+04  2.314034e+04  2.302915e+04  2.292150e+04  2.281740e+04  2.271685e+04  2.261983e+04  2.252634e+04  2.243638e+04  2.234993e+04  2.226700e+04  2.218758e+04  2.211166e+04  2.203923e+04  2.197030e+04  2.190484e+04  2.184286e+04  2.178434e+04  2.172928e+04  2.167767e+04  2.162950e+04  2.158476e+04  2.154344e+04  2.150554e+04  2.147103e+04  2.143990e+04  2.141215e+04  2.138776e+04  2.136672e+04  2.134899e+04  2.133457e+04  2.132343e+04  2.121112e+04  2.099520e+04  2.077929e+04  2.056337e+04  2.034746e+04  2.019948e+04  2.011965e+04  2.004002e+04  1.996054e+04  1.988120e+04  1.980197e+04  1.972283e+04  1.964378e+04  1.956480e+04  1.948588e+04  1.940703e+04  1.932823e+04  1.924948e+04  1.917077e+04  1.909212e+04  1.901350e+04  1.893492e+04  1.885637e+04  1.877786e+04  1.869938e+04  1.862094e+04  1.854252e+04  1.846413e+04  1.838576e+04  1.830742e+04  1.822911e+04  1.815082e+04  1.807255e+04  1.799430e+04  1.791608e+04  1.783787e+04  1.775968e+04  1.768152e+04  1.760337e+04  1.752523e+04  1.744712e+04  1.736902e+04  1.729094e+04  1.721287e+04  1.713482e+04  1.705678e+04  1.697876e+04  1.690075e+04  1.682276e+04  1.674478e+04  1.666681e+04  1.658886e+04           nan
  2.837100e-08  2.613491e+04  2.595893e+04  2.578666e+04  2.561808e+04  2.545319e+04  2.529199e+04  2.513448e+04  2.498065e+04  2.483049e+04  2.468401e+04  2.454119e+04  2.440204e+04  2.426655e+04  2.413472e+04  2.400654e+04  2.388201e+04  2.376112e+04  2.364387e+04  2.353026e+04  2.342027e+04  2.331391e+04  2.321116e+04  2.311203e+04  2.301651e+04  2.292459e+04  2.283626e+04  2.275153e+04  2.267038e+04  2.259281e+04  2.251880e+04  2.244837e+04  2.238149e+04  2.231815e+04  2.225836e+04  2.220211e+04  2.214937e+04  2.210015e+04  2.205444e+04  2.201223e+04  2.197349e+04  2.193823e+04  2.190643e+04  2.187808e+04  2.185316e+04  2.183165e+04  2.181354e+04  2.179881e+04  2.178742e+04  2.167267e+04  2.145206e+04  2.123144e+04  2.101083e+04  2.079022e+04  2.063902e+04  2.055745e+04  2.047608e+04  2.039488e+04  2.031382e+04  2.023286e+04  2.015200e+04  2.007123e+04  1.999053e+04  1.990989e+04  1.982932e+04  1.974881e+04  1.966834e+04  1.958793e+04  1.950756e+04  1.942723e+04  1.934694e+04  1.926669e+04  1.918647e+04  1.910628e+04  1.902613e+04  1.894600e+04  1.886591e+04  1.878584e+04  1.870579e+04  1.862577e+04  1.854578e+04  1.846581e+04  1.838586e+04  1.830593e+04  1.822602e+04  1.814613e+04  1.806626e+04  1.798641e+04  1.790658e+04  1.782677e+04  1.774697e+04  1.766719e+04  1.758742e+04  1.750767e+04  1.742794e+04  1.734822e+04  1.726851e+04  1.718882e+04  1.710914e+04  1.702948e+04  1.694983e+04           nan
  3.571700e-08  2.644831e+04  2.627022e+04  2.609588e+04  2.592528e+04  2.575842e+04  2.559529e+04  2.543588e+04  2.528021e+04  2.512825e+04  2.498001e+04  2.483548e+04  2.469466e+04  2.455755e+04  2.442414e+04  2.429442e+04  2.416840e+04  2.404606e+04  2.392740e+04  2.381243e+04  2.370112e+04  2.359348e+04  2.348951e+04  2.338919e+04  2.329252e+04  2.319949e+04  2.311011e+04  2.302436e+04  2.294224e+04  2.286373e+04  2.278884e+04  2.271756e+04  2.264988e+04  2.258579e+04  2.252528e+04  2.246835e+04  2.241498e+04  2.236517e+04  2.231891e+04  2.227619e+04  2.223699e+04  2.220131e+04  2.216913e+04  2.214044e+04  2.211522e+04  2.209345e+04  2.207512e+04  2.206021e+04  2.204869e+04  2.193256e+04  2.170930e+04  2.148604e+04  2.126278e+04  2.103952e+04  2.088652e+04  2.080397e+04  2.072163e+04  2.063945e+04  2.055741e+04  2.047549e+04  2.039366e+04  2.031191e+04  2.023025e+04  2.014865e+04  2.006711e+04  1.998563e+04  1.990420e+04  1.982282e+04  1.974149e+04  1.966019e+04  1.957894e+04  1.949773e+04  1.941654e+04  1.933540e+04  1.925428e+04  1.917320e+04  1.909214e+04  1.901111e+04  1.893011e+04  1.884913e+04  1.876817e+04  1.868724e+04  1.860633e+04  1.852545e+04  1.844458e+04  1.836374e+04  1.828291e+04  1.820210e+04  1.812131e+04  1.804054e+04  1.795978e+04  1.787905e+04  1.779832e+04  1.771762e+04  1.763693e+04  1.755625e+04  1.747559e+04  1.739494e+04  1.731431e+04  1.723369e+04  1.715308e+04           nan
